template,1,2,3,4,5,6,7,8,9,10,11,12
A,BG-Blank,BG-Blank,BG-Blank,BG-Blank,BG-Assay,BG-Assay,BG-Assay,BG-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,BG-Blank,BG-Blank,BG-Blank,BG-Blank,BG-Assay,BG-Assay,BG-Assay,BG-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,BG-Blank,BG-Blank,BG-Blank,BG-Blank,BG-Assay,BG-Assay,BG-Assay,BG-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,BG-Blank,BG-Blank,BG-Blank,BG-Blank,BG-Assay,BG-Assay,BG-Assay,BG-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,BG-Blank,BG-Blank,BG-Blank,BG-Blank,BG-Assay,BG-Assay,BG-Assay,BG-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,BG-Blank,BG-Blank,BG-Blank,BG-Blank,BG-Assay,BG-Assay,BG-Assay,BG-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,BG-Blank,BG-Blank,BG-Blank,BG-Blank,BG-Assay,BG-Assay,BG-Assay,BG-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,BG-Blank,BG-Blank,BG-Blank,BG-Blank,BG-Assay,BG-Assay,BG-Assay,BG-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
data,1,2,3,4,5,6,7,8,9,10,11,12
A,352,340,304,341,3093,1896,1088,1174,1652,9721,61,53
B,287,273,227,237,3796,771,2017,1270,1539,8783,65,54
C,191,183,182,199,1723,1342,1159,1073,1411,4925,69,55
D,132,128,122,135,1668,1901,824,738,593,4913,71,57
E,97,98,88,88,1275,1086,973,1217,495,1932,69,60
F,53,54,47,49,64,67,79,61,278,2181,68,57
G,55,53,57,51,564,792,535,226,141,612,65,55
H,56,56,51,55,406,492,347,591,137,675,66,52
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,bad,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
ph_batch,1,2,3,4,5,6,7,8,9,10,11,12
A,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
B,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
C,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
D,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
E,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
F,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
G,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
H,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
