Template,1,2,3,4,5,6,7,8,9,10,11,12
A,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,bad,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,469,513,346,357,372,342,1203,1523,2437,9854,72,36
B,391,343,265,258,336,307,1361,1786,2924,9600,74,40
C,271,282,247,226,289,287,1412,1334,1501,5604,76,45
D,156,159,122,131,252,224,1249,993,1032,6072,73,46
E,108,107,71,75,176,179,722,597,634,2815,74,44
F,74,82,55,56,179,168,619,564,652,3098,72,44
G,63,61,43,44,183,155,585,404,450,577,74,44
H,44,44,32,46,83,77,74,95,194,750,75,45
