Template,1,2,3,4,5,6,7,8,9,10,11,12
A,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,bad,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,493,523,372,399,786,995,3131,3328,1717,10075,68,68
B,452,430,307,286,528,640,3494,2402,2284,9167,72,66
C,298,320,217,221,1034,957,1841,2330,824,4148,72,70
D,187,192,140,138,887,617,1767,2049,715,5109,80,66
E,118,121,93,97,613,520,2057,1003,330,2404,71,68
F,87,101,71,73,238,360,354,596,373,2580,75,63
G,76,82,63,59,115,87,93,78,146,628,74,65
H,76,69,58,53,183,155,95,76,122,699,72,66
