Template,1,2,3,4,5,6,7,8,9,10,11,12
A,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,501,553,371,384,1674,2067,13327,12523,14490,12306,151,39
B,423,414,294,302,2311,2120,13550,11078,14903,12455,160,39
C,331,325,230,237,2281,2293,13690,12631,7298,6280,166,37
D,194,183,125,129,2757,2580,10518,12717,7432,6829,169,35
E,123,115,76,89,2461,2079,8575,8917,2922,3392,163,36
F,64,64,61,63,1911,1471,6987,5793,3442,3281,158,38
G,61,59,53,84,1301,1790,3913,4466,529,784,156,38
H,40,44,43,52,129,970,3380,3456,1028,721,163,36
