Template,1,2,3,4,5,6,7,8,9,10,11,12
A,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,bad,,,,,
C,,,,,,,bad,,,,,
D,,,,,,,,,,,,
E,,,,,,,,bad,,,,
F,,,,,,,,bad,,,,
G,,,,,,,,,,,,
H,,,,,,bad,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,998,1054,534,534,11154,10490,1757,1407,22088,27782,245,65
B,739,710,409,407,11526,10549,1728,1368,23139,25361,252,64
C,540,572,330,333,9020,9403,1753,1027,11578,12685,254,80
D,312,316,200,222,8800,11186,1452,1224,11160,13170,249,64
E,203,207,148,153,9428,10094,1343,1201,5790,6601,257,66
F,145,116,123,125,7277,7729,1128,3025,5690,6476,261,67
G,123,132,111,114,7185,7211,631,945,1685,1676,265,78
H,67,66,96,102,2393,1717,1176,760,1579,1595,259,69
