Template,1,2,3,4,5,6,7,8,9,10,11,12
A,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,bad,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,bad,,,,,,,
G,,,,,,,,,,,,
H,,,,,bad,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,720,786,442,458,1970,2525,457,562,2892,15462,125,61
B,586,565,385,375,3218,4203,528,477,2484,14460,127,63
C,419,444,301,304,2210,2780,412,367,1491,7129,140,65
D,261,249,185,183,1990,2417,376,341,1473,7293,124,63
E,162,160,136,150,1551,1121,334,296,809,3775,127,99
F,114,110,105,108,151,1255,240,271,760,3655,125,70
G,85,87,130,106,745,820,223,214,328,1084,126,67
H,79,77,86,88,126,585,140,185,195,1069,129,67
