Template,1,2,3,4,5,6,7,8,9,10,11,12
A,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,483,483,5418,5667,824,815,7921,11390,2089,10794,93,106
B,367,375,4972,4336,998,898,7894,10468,2905,10598,94,104
C,297,308,4382,3660,970,795,7722,8868,1470,6481,99,103
D,192,233,3220,2994,590,678,6892,10165,1250,5624,98,96
E,143,139,2008,2226,468,491,8669,7386,572,2669,97,95
F,123,132,1282,1338,309,312,5012,5025,683,2668,93,95
G,103,119,1313,927,271,236,2360,2473,259,761,97,93
H,98,110,644,496,100,113,708,890,227,943,92,106
