Template,1,2,3,4,5,6,7,8,9,10,11,12
A,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,B-sub-blank,B-sub-blank,C-sub-blank,C-sub-blank,B-Assay,B-Assay,C-Assay,C-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,bad,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,bad,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,738,760,466,515,1638,2005,480,455,4190,14084,132,64
B,578,1048,426,79,1918,1263,418,129,4008,16269,133,62
C,476,445,311,349,1997,1654,387,356,2034,6912,129,65
D,270,254,202,204,1639,1474,316,287,2010,6885,143,68
E,166,167,209,211,1281,1111,349,272,992,3661,133,67
F,113,115,77,81,893,910,118,138,1055,3146,132,69
G,93,93,113,102,161,174,277,213,849,961,133,70
H,74,9181,88,88,252,532,128,127,391,877,129,72
