Template,1,2,3,4,5,6,7,8,9,10,11,12
A,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,531,565,6225,6412,1228,1210,10902,18158,3543,14558,141,64
B,421,415,5666,5633,988,958,11925,16169,3821,14877,141,64
C,305,318,4303,4892,896,931,12614,12072,2227,6998,140,65
D,197,193,3390,3407,772,927,11371,9730,1978,7664,137,69
E,127,138,2121,2724,546,618,9944,6090,1070,3087,145,68
F,90,94,1775,1574,449,437,5220,5653,1017,3740,141,69
G,96,84,1099,1376,155,333,3878,3216,127,997,135,71
H,73,82,638,540,122,127,2010,1957,397,905,125,70
