template,1,2,3,4,5,6,7,8,9,10,11,12
A,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB2.5+S,MUB2.5,Buf+s,Buf
B,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB2.5+S,MUB2.5,Buf+s,Buf
C,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB1.25+S,MUB1.25,Buf+s,Buf
D,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB1.25+S,MUB1.25,Buf+s,Buf
E,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.625+S,MUB0.625,Buf+s,Buf
F,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.625+S,MUB0.625,Buf+s,Buf
G,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.16+S,MUB0.16,Buf+s,Buf
H,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
data,1,2,3,4,5,6,7,8,9,10,11,12
A,359,369,350,334,2098,1930,2124,1654,3762,13914,102,52
B,304,272,260,262,1501,1919,1652,1692,3206,11144,114,47
C,225,227,199,198,1468,2077,1348,1398,1448,4992,116,52
D,145,147,132,136,1510,1470,1884,1353,1457,5320,115,50
E,85,100,163,91,946,1237,1026,794,601,2710,114,50
F,55,52,45,46,75,76,77,79,685,2542,110,56
G,57,64,57,58,146,662,414,376,230,615,102,51
H,56,57,52,68,334,578,615,278,254,789,97,55
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
ph_batch,1,2,3,4,5,6,7,8,9,10,11,12
A,7,7,7,7,7,7,7,7,7,7,7,7
B,7,7,7,7,7,7,7,7,7,7,7,7
C,7,7,7,7,7,7,7,7,7,7,7,7
D,7,7,7,7,7,7,7,7,7,7,7,7
E,7,7,7,7,7,7,7,7,7,7,7,7
F,7,7,7,7,7,7,7,7,7,7,7,7
G,7,7,7,7,7,7,7,7,7,7,7,7
H,7,7,7,7,7,7,7,7,7,7,7,7
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
