Template,1,2,3,4,5,6,7,8,9,10,11,12
A,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,401,413,6123,5526,827,767,16395,14679,3872,11503,117,58
B,306,304,4157,3975,595,670,20253,10201,3483,11767,113,62
C,244,255,3601,3832,508,474,15702,9771,1554,5282,107,60
D,152,154,1960,2150,294,352,9128,5610,1496,5441,99,58
E,97,113,1098,1127,218,266,5647,3283,623,3072,87,58
F,87,88,811,809,177,207,3688,1993,917,2900,84,58
G,67,77,451,560,115,127,2358,1424,251,837,76,58
H,53,53,327,324,94,74,446,76,304,784,74,54
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
