template,1,2,3,4,5,6,7,8,9,10,11,12
A,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB2.5+S,MUB2.5,Buf+s,Buf
B,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB2.5+S,MUB2.5,Buf+s,Buf
C,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB1.25+S,MUB1.25,Buf+s,Buf
D,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB1.25+S,MUB1.25,Buf+s,Buf
E,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.625+S,MUB0.625,Buf+s,Buf
F,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.625+S,MUB0.625,Buf+s,Buf
G,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.16+S,MUB0.16,Buf+s,Buf
H,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
data,1,2,3,4,5,6,7,8,9,10,11,12
A,358,368,354,357,1161,694,1261,1484,632,8485,74,56
B,300,306,273,255,780,2066,738,1344,58,44,83,56
C,246,256,209,201,799,1432,694,749,377,4627,79,54
D,180,155,130,126,946,766,858,858,609,5123,81,50
E,117,108,96,96,863,682,551,1167,285,2358,76,52
F,61,58,49,48,78,67,73,62,261,2263,77,55
G,60,58,50,59,489,74,70,80,142,611,78,70
H,58,50,49,48,420,70,64,278,169,637,75,55
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,bad,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
ph_batch,1,2,3,4,5,6,7,8,9,10,11,12
A,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
B,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
C,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
D,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
E,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
F,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
G,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
H,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
