Template,1,2,3,4,5,6,7,8,9,10,11,12
A,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,C-sub-blank,C-sub-blank,B-sub-blank,B-sub-blank,C-Assay,C-Assay,B-Assay,B-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,512,520,389,399,1767,1990,9069,9684,13296,13902,150,74
B,407,395,310,320,1648,2039,9743,9852,13505,14334,150,78
C,314,320,255,254,2046,1634,11394,10399,6566,6756,151,75
D,206,186,156,162,1844,1647,8673,9078,6225,7567,138,88
E,137,138,106,115,1683,1713,6945,9839,3588,3485,147,88
F,100,103,83,95,905,1313,4981,3331,3531,3123,139,78
G,79,82,70,76,131,729,4207,3328,939,889,135,72
H,71,72,66,62,942,143,129,2175,955,783,139,68
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,bad,bad,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
