"plate","conc_uM","ph_buffer","sample_id","enzyme","activity"
"1-rr120-8-bc",150,8,"RR2_SH_A_3","BG",42.0025115380227
"1-rr120-8-bc",150,8,"RR2_SH_A_3","Cello",2.70657838462565
"1-rr120-8-bc",18.6,8,"RR2_SH_A_3","BG",35.3674266516475
"1-rr120-8-bc",18.6,8,"RR2_SH_A_3","Cello",4.06220260160914
"1-rr120-8-bc",210,8,"RR2_SH_A_3","BG",50.2792872971718
"1-rr120-8-bc",210,8,"RR2_SH_A_3","Cello",4.06576621607468
"1-rr120-8-bc",300,8,"RR2_SH_A_3","BG",47.9716740799785
"1-rr120-8-bc",300,8,"RR2_SH_A_3","Cello",4.59579697327154
"1-rr120-8-bc",37.2,8,"RR2_SH_A_3","BG",46.1566548305684
"1-rr120-8-bc",37.2,8,"RR2_SH_A_3","Cello",5.00916203835367
"1-rr120-8-bc",4.8,8,"RR2_SH_A_3","BG",10.5175804996377
"1-rr120-8-bc",4.8,8,"RR2_SH_A_3","Cello",3.37934839891037
"1-rr120-8-bc",75,8,"RR2_SH_A_3","BG",46.8455471286718
"1-rr120-8-bc",75,8,"RR2_SH_A_3","Cello",4.73406683675165
"1-rr120-8-bc",9.6,8,"RR2_SH_A_3","BG",33.880821327447
"1-rr120-8-bc",9.6,8,"RR2_SH_A_3","Cello",2.43877484956035
"2-rr120-8-np",150,8,"RR2_SH_A_3","NAG",2.18115033882323
"2-rr120-8-np",150,8,"RR2_SH_A_3","P",82.0355792993519
"2-rr120-8-np",18.6,8,"RR2_SH_A_3","NAG",0.750234323345781
"2-rr120-8-np",18.6,8,"RR2_SH_A_3","P",68.4125499781818
"2-rr120-8-np",210,8,"RR2_SH_A_3","NAG",2.20485168241412
"2-rr120-8-np",210,8,"RR2_SH_A_3","P",89.8751433758354
"2-rr120-8-np",300,8,"RR2_SH_A_3","NAG",2.1155089575145
"2-rr120-8-np",300,8,"RR2_SH_A_3","P",85.7271906285129
"2-rr120-8-np",37.2,8,"RR2_SH_A_3","NAG",1.25058180541365
"2-rr120-8-np",37.2,8,"RR2_SH_A_3","P",79.7664845004767
"2-rr120-8-np",75,8,"RR2_SH_A_3","NAG",1.4776706932421
"2-rr120-8-np",75,8,"RR2_SH_A_3","P",68.8424964483831
"2-rr120-8-np",9.6,8,"RR2_SH_A_3","NAG",0.531722098541693
"2-rr120-8-np",9.6,8,"RR2_SH_A_3","P",31.7883043002347
"2-rr120-8-np",4.8,8,"RR2_SH_A_3","P",14.8475859547271
"3-rr120-7-bc",150,7,"RR2_SH_A_3","BG",74.2010061245174
"3-rr120-7-bc",150,7,"RR2_SH_A_3","Cello",8.34158540399252
"3-rr120-7-bc",18.6,7,"RR2_SH_A_3","BG",49.7776289081309
